name,type,source,producers,genre,studio,episodes,airing,duration,rating,score,scored_by,rank,popularity,members,favorites
Golgo 13: Queen Bee,OVA,Manga,['Tezuka Productions'],"['Action', 'Adventure', 'Military', 'Drama', 'Seinen']",['Filmlink International'],1.0,False,56 min,R+ - Mild Nudity,6.66,2823.0,5054.0,4809.0,6231.0,5.0
Arslan Senki,OVA,Light novel,"['Production I.G', 'Kadokawa Shoten', 'Movic', 'Sony Music Entertainment', 'Aubec']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical']","['J.C.Staff', 'animate Film']",6.0,False,37 min per ep,PG-13 - Teens 13 or older,7.0,4151.0,3659.0,3332.0,15105.0,74.0
Midnight Panther,OVA,Manga,['Green Bunny'],"['Action', 'Adventure', 'Fantasy', 'Hentai']",[],2.0,False,30 min per ep,Rx - Hentai,5.84,630.0,,7858.0,1578.0,5.0
Slam Dunk (Movie),Movie,Manga,[],"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life', 'Sports']",['Toei Animation'],1.0,False,30 min,PG-13 - Teens 13 or older,7.44,5924.0,1886.0,3804.0,10999.0,23.0
Vampire Sensou,OVA,Unknown,[],"['Super Power', 'Supernatural', 'Vampire']",['Toei Animation'],1.0,False,55 min,R+ - Mild Nudity,4.7,1404.0,9997.0,6700.0,2695.0,5.0
Youseiki Suikoden,OVA,Light novel,"['Konami', 'Kadokawa Shoten']","['Action', 'Martial Arts', 'Fantasy']",['J.C.Staff'],1.0,False,45 min,R - 17+ (violence & profanity),5.76,718.0,8342.0,7628.0,1766.0,0.0
Psycho Diver: Mashou Bosatsu,OVA,Unknown,[],"['Horror', 'Psychological', 'Sci-Fi']",['Madhouse'],1.0,False,48 min,R+ - Mild Nudity,5.8,1102.0,8248.0,6431.0,3023.0,3.0
Kikaider 01 The Animation,OVA,Other,['SME Visual Works'],"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",['Radix'],4.0,False,27 min per ep,PG-13 - Teens 13 or older,6.88,966.0,4098.0,7234.0,2106.0,6.0
Oh! Super Milk-chan,TV,Original,['Pioneer LDC'],"['Action', 'Parody', 'Comedy', 'Sci-Fi']",['Studio Pierrot'],12.0,False,21 min per ep,R - 17+ (violence & profanity),6.06,1489.0,7539.0,6010.0,3586.0,15.0
Unbalance,OVA,Visual novel,['Discovery'],['Hentai'],['AT-2'],3.0,False,30 min per ep,Rx - Hentai,5.9,581.0,,7610.0,1781.0,1.0
Ring ni Kakero 1: Nichibei Kessen-hen,TV,Manga,['Marvelous'],"['Action', 'Sports', 'Shounen']",['Toei Animation'],12.0,False,25 min per ep,PG-13 - Teens 13 or older,6.73,470.0,4777.0,8138.0,1391.0,14.0
Seishoujo Kantai Virgin Fleet,OVA,Unknown,['BEAM Entertainment'],"['Fantasy', 'Military', 'School', 'Sci-Fi']",['AIC'],3.0,False,30 min per ep,PG-13 - Teens 13 or older,5.3,526.0,9314.0,8326.0,1282.0,0.0
Hokuto no Ken: Raoh Gaiden Junai-hen,Movie,Unknown,['North Stars Pictures'],"['Action', 'Adventure', 'Martial Arts']",['TMS Entertainment'],1.0,False,1 hr 35 min,R - 17+ (violence & profanity),7.52,3257.0,1601.0,4570.0,7100.0,13.0
HeatGuy J Special,Special,Original,['Bandai Visual'],"['Action', 'Adventure', 'Mecha', 'Police', 'Sci-Fi']",['Satelight'],1.0,False,25 min,PG-13 - Teens 13 or older,7.22,832.0,2780.0,7380.0,1977.0,1.0
Jikuu Tenshou Nazca,TV,Manga,"['Kadokawa Shoten', 'Pioneer LDC']","['Action', 'Adventure', 'Drama', 'Magic', 'Fantasy']","['Genco', 'Radix']",12.0,False,24 min per ep,PG-13 - Teens 13 or older,5.76,872.0,8332.0,5592.0,4287.0,5.0
Bulg-eunmae,Movie,Unknown,[],"['Super Power', 'Martial Arts']",[],1.0,False,1 hr 26 min,PG-13 - Teens 13 or older,5.54,371.0,8822.0,9301.0,783.0,1.0
Kaze no Tairiku,Movie,Light novel,"['Bandai Visual', 'Kadokawa Shoten', 'Victor Entertainment', 'animate Film', 'Imagica']","['Action', 'Adventure', 'Fantasy', 'Supernatural']",['Production I.G'],1.0,False,55 min,PG-13 - Teens 13 or older,6.29,1530.0,6674.0,6130.0,3398.0,6.0
Bakunyuu Shimai,OVA,Original,['Digital Works'],['Hentai'],['Y.O.U.C'],2.0,False,29 min per ep,Rx - Hentai,6.29,1071.0,,6330.0,3141.0,14.0
Choukou Tenshi Escalayer,OVA,Visual novel,['Pink Pineapple'],"['Demons', 'Hentai', 'Sci-Fi', 'Super Power']",[],3.0,False,28 min per ep,Rx - Hentai,6.62,3692.0,,4284.0,8326.0,39.0
Hi.Me.Go.To,OVA,Unknown,['Pink Pineapple'],['Hentai'],[],1.0,False,27 min,Rx - Hentai,6.32,959.0,,6207.0,3288.0,12.0
Hyakki,OVA,Visual novel,['Pink Pineapple'],"['Hentai', 'Horror']",['Arms'],3.0,False,26 min per ep,Rx - Hentai,5.76,524.0,,7555.0,1827.0,5.0
Imouto Jiru,OVA,Visual novel,['Milky Animation Label'],['Hentai'],['T-Rex'],2.0,False,29 min per ep,Rx - Hentai,6.56,3163.0,,4386.0,7889.0,51.0
Injuu Nerawareta Hanayome,OVA,Unknown,['Pink Pineapple'],['Hentai'],[],2.0,False,25 min per ep,Rx - Hentai,5.48,347.0,,8469.0,1194.0,4.0
Sprite: Between Two Worlds,OVA,Unknown,['Toei Video'],"['Comedy', 'Ecchi', 'Romance', 'School']",['J.C.Staff'],2.0,False,36 min per ep,R+ - Mild Nudity,6.04,407.0,7605.0,8479.0,1186.0,0.0
Viper GTS,OVA,Visual novel,['Front Line'],"['Demons', 'Hentai']",['Studio G-1Neo'],3.0,False,26 min per ep,Rx - Hentai,7.07,4973.0,,4035.0,9671.0,102.0
Yuuguu Settai: Kotou no Gokuraku e Youkoso,OVA,Visual novel,['Milky Animation Label'],['Hentai'],[],2.0,False,26 min per ep,Rx - Hentai,5.77,949.0,,6639.0,2763.0,4.0
Argento Soma Special,Special,Unknown,[],"['Action', 'Mecha', 'Sci-Fi']",['Sunrise'],1.0,False,25 min,PG-13 - Teens 13 or older,6.47,1300.0,5891.0,6458.0,2978.0,0.0
Tactical Roar Special,Special,Unknown,[],"['Action', 'Comedy', 'Ecchi', 'Military', 'Romance', 'Sci-Fi']",[],1.0,False,10 min,PG-13 - Teens 13 or older,5.92,611.0,7931.0,8005.0,1470.0,0.0
Ai Doll,OVA,Visual novel,['Y.O.U.C'],"['Hentai', 'Drama']",[],4.0,False,30 min per ep,Rx - Hentai,5.84,977.0,,6753.0,2634.0,10.0
Overman King Gainer,TV,Original,['WOWOW'],"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",['Sunrise'],26.0,False,25 min per ep,PG-13 - Teens 13 or older,6.95,2533.0,3841.0,4277.0,8353.0,23.0
Kaze no Na wa Amnesia,Movie,Light novel,['Japan Home Video'],"['Action', 'Dementia', 'Drama', 'Sci-Fi']",['Madhouse'],1.0,False,1 hr 20 min,R+ - Mild Nudity,6.5,4935.0,5787.0,3776.0,11167.0,30.0
Dirty Pair no Ooshoubu: Nolandia no Nazo,OVA,Light novel,['Studio Nue'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Police']",['Sunrise'],1.0,False,55 min,R+ - Mild Nudity,6.54,1199.0,5621.0,6608.0,2801.0,2.0
Dirty Pair: Bouryaku no 005-bin,OVA,Light novel,[],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Police']",['Sunrise'],1.0,False,59 min,PG-13 - Teens 13 or older,6.89,1091.0,4056.0,6772.0,2604.0,2.0
Dirty Pair: The Movie,Movie,Light novel,['Atelier Musa'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Police']",['Sunrise'],1.0,False,1 hr 20 min,PG-13 - Teens 13 or older,7.16,2042.0,3028.0,5281.0,4944.0,23.0
Animation Seisaku Shinkou Kuromi-chan,OVA,Unknown,['DAX Production'],"['Comedy', 'Parody', 'Drama']",['Yumeta Company'],1.0,False,38 min,PG-13 - Teens 13 or older,6.98,3624.0,3724.0,4583.0,7036.0,5.0
Animation Seisaku Shinkou Kuromi-chan 2,OVA,Unknown,['DAX Production'],"['Comedy', 'Parody', 'Drama']",['Yumeta Company'],1.0,False,47 min,PG-13 - Teens 13 or older,6.99,2626.0,3688.0,5483.0,4506.0,1.0
Fatal Fury: Legend of the Hungry Wolf,OVA,Game,"['Nihon Ad Systems', 'Studio Jack']","['Action', 'Adventure', 'Drama', 'Martial Arts', 'Romance', 'Shounen']",[],1.0,False,46 min,PG-13 - Teens 13 or older,6.56,3909.0,5524.0,4675.0,6721.0,16.0
Fatal Fury 2: The New Battle,OVA,Game,['Nihon Ad Systems'],"['Action', 'Adventure', 'Drama', 'Martial Arts', 'Shounen']",[],1.0,False,1 hr 2 min,PG-13 - Teens 13 or older,6.83,3741.0,4277.0,4804.0,6253.0,19.0
Dirty Pair Flash,OVA,Light novel,"['VAP', 'Studio Jack']","['Action', 'Adventure', 'Police', 'Comedy', 'Sci-Fi']",['Sunrise'],6.0,False,27 min per ep,PG-13 - Teens 13 or older,6.77,2294.0,4544.0,4972.0,5776.0,15.0
Dirty Pair: Lovely Angels yori Ai wo Komete,OVA,Light novel,['Studio Nue'],"['Action', 'Adventure', 'Comedy', 'Police', 'Sci-Fi']",['Sunrise'],2.0,False,23 min per ep,PG-13 - Teens 13 or older,7.11,1178.0,3236.0,6455.0,2981.0,2.0
Koko wa Green Wood,OVA,Manga,[],"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Supernatural']","['Studio Pierrot', 'Ajia-Do']",6.0,False,26 min per ep,PG-13 - Teens 13 or older,6.94,2020.0,3871.0,5019.0,5639.0,18.0
Master Mosquiton,OVA,Manga,"['Nippon Columbia', 'Zero-G Room']","['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Vampire']",[],6.0,False,27 min per ep,PG-13 - Teens 13 or older,6.8,1705.0,4431.0,5850.0,3843.0,13.0
Master Mosquiton '99,TV,Manga,"['TV Tokyo', 'Sotsu', 'Zero-G Room']","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Vampire']",[],26.0,False,23 min per ep,PG-13 - Teens 13 or older,6.66,945.0,5064.0,6520.0,2914.0,5.0
Prism Ark,TV,Visual novel,"['Marvelous', 'Media Factory', '5pb.', 'Pencil']","['Action', 'Fantasy', 'Magic', 'Comedy', 'Drama']",['Front Line'],12.0,False,24 min per ep,R+ - Mild Nudity,6.53,7256.0,5674.0,2950.0,19145.0,32.0
Kamichama Karin,TV,Manga,"['Broccoli', 'Nihon Ad Systems', 'Pony Canyon', 'Studio Kelmadick']","['Comedy', 'Fantasy', 'Magic', 'Romance', 'School', 'Shoujo']",['Satelight'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.44,15281.0,1871.0,2041.0,37127.0,456.0
Kyoushirou to Towa no Sora,TV,Manga,"['Geneon Universal Entertainment', 'AT-X', 'KlockWorx', 'Studio Mausu', 'Toshiba Entertainment']","['Drama', 'Magic', 'Romance', 'Shounen']",['TNK'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,6.59,11406.0,5398.0,2147.0,33791.0,101.0
Hanoka,TV,Unknown,"['RAMS', 'Fanworks']",['Sci-Fi'],[],12.0,False,5 min per ep,PG-13 - Teens 13 or older,3.98,899.0,10204.0,7041.0,2293.0,9.0
Genshiken OVA,OVA,Manga,"['Genco', 'Lantis', 'Media Factory']","['Parody', 'Slice of Life', 'Comedy']",['Ajia-Do'],3.0,False,24 min per ep,PG-13 - Teens 13 or older,7.71,24624.0,1090.0,1930.0,40645.0,31.0
Shakugan no Shana Movie,Movie,Light novel,"['Geneon Universal Entertainment', 'ASCII Media Works', 'Showgate']","['Action', 'Supernatural', 'Fantasy']",['J.C.Staff'],1.0,False,1 hr 30 min,PG-13 - Teens 13 or older,7.43,25675.0,1938.0,1660.0,50563.0,62.0
Sonic X,TV,Game,['TV Tokyo'],"['Sci-Fi', 'Adventure', 'Comedy', 'Kids', 'Mecha', 'Shounen']",['TMS Entertainment'],78.0,False,24 min per ep,PG - Children,6.51,22836.0,5754.0,1939.0,40195.0,312.0
DearS: Kin no Tama Desu no?,Special,Manga,['Hal Film Maker'],"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",['Daume'],1.0,False,23 min,R+ - Mild Nudity,6.92,11822.0,3944.0,2815.0,21096.0,15.0
Claymore,TV,Manga,"['VAP', 'Avex Entertainment', 'Nippon Television Network']","['Action', 'Adventure', 'Super Power', 'Demons', 'Supernatural', 'Fantasy', 'Shounen']",['Madhouse'],26.0,False,23 min per ep,R+ - Mild Nudity,7.86,219525.0,779.0,131.0,433449.0,7283.0
Daimajuu Gekitou: Hagane no Oni,OVA,Unknown,['AIC'],"['Mecha', 'Horror', 'Sci-Fi']",[],1.0,False,56 min,PG-13 - Teens 13 or older,5.32,662.0,9254.0,7744.0,1666.0,1.0
Power Dolls,OVA,Game,['VAP'],"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",['OLM'],2.0,False,25 min per ep,R+ - Mild Nudity,5.51,470.0,8892.0,8244.0,1323.0,1.0
Guren,OVA,Visual novel,['Discovery'],"['Harem', 'Hentai']",['AT-2'],3.0,False,30 min per ep,Rx - Hentai,6.28,1271.0,,5782.0,3952.0,13.0
The Hakkenden,OVA,Novel,['AIC'],"['Action', 'Adventure', 'Historical', 'Demons', 'Martial Arts', 'Samurai', 'Shounen']",['Artmic'],6.0,False,30 min per ep,R - 17+ (violence & profanity),6.7,1520.0,4902.0,5066.0,5515.0,11.0
Shin Hakkenden,TV,Unknown,"['TV Tokyo', 'Public & Basic']","['Action', 'Adventure', 'Martial Arts', 'Sci-Fi']",[],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.27,1438.0,2597.0,5889.0,3784.0,15.0
Hadashi no Gen,Movie,Manga,['RCC Chugoku Broadcasting'],"['Drama', 'Historical']",['Madhouse'],1.0,False,1 hr 23 min,PG-13 - Teens 13 or older,7.87,10182.0,761.0,2521.0,25649.0,76.0
Hadashi no Gen 2,Movie,Manga,['GEN Productions'],"['Drama', 'Historical', 'Shounen']",['Madhouse'],1.0,False,1 hr 26 min,PG-13 - Teens 13 or older,7.43,3096.0,1915.0,4617.0,6891.0,8.0
Deltora Quest,TV,Book,"['Geneon Universal Entertainment', 'Dentsu', 'Genco', 'Kodansha', 'Half H.P Studio']","['Adventure', 'Kids', 'Fantasy']",['OLM'],65.0,False,25 min per ep,PG - Children,7.07,5331.0,3378.0,3280.0,15602.0,90.0
Seirei no Moribito,TV,Novel,"['NHK', 'Atelier Musa']","['Action', 'Adventure', 'Historical', 'Fantasy']",['Production I.G'],26.0,False,25 min per ep,PG-13 - Teens 13 or older,8.2,54034.0,325.0,670.0,141455.0,2271.0
Catblue: Dynamite,ONA,Unknown,[],"['Action', 'Fantasy']",[],1.0,False,42 min,R - 17+ (violence & profanity),6.2,591.0,7018.0,7931.0,1521.0,1.0
Gedo Senki,Movie,Novel,['Toho'],"['Adventure', 'Fantasy', 'Magic']",['Studio Ghibli'],1.0,False,1 hr 55 min,PG-13 - Teens 13 or older,7.1,46680.0,3285.0,1185.0,78579.0,160.0
Utawarerumono Specials,Special,Unknown,['Lantis'],"['Action', 'Fantasy', 'Comedy', 'Drama']",['OLM'],6.0,False,7 min per ep,PG-13 - Teens 13 or older,7.68,6773.0,1177.0,3579.0,12914.0,8.0
Iczer-Girl Iczelion,OVA,Original,['KSS'],"['Action', 'Adventure', 'Sci-Fi']",[],2.0,False,27 min per ep,R+ - Mild Nudity,5.71,670.0,8455.0,7717.0,1685.0,3.0
Meiou Project Zeorymer,OVA,Manga,"['Youmex', 'Toshiba EMI']","['Action', 'Sci-Fi', 'Psychological', 'Drama', 'Mecha']","['AIC', 'Artmic']",4.0,False,25 min per ep,R+ - Mild Nudity,6.24,1600.0,6879.0,6070.0,3497.0,14.0
Hyper-Psychic Geo Garaga,Movie,Manga,['Asmik Ace'],"['Action', 'Sci-Fi', 'Adventure']","['Anime R', 'Aubec']",1.0,False,1 hr 40 min,R - 17+ (violence & profanity),5.2,407.0,9459.0,8941.0,935.0,3.0
Dragon Knight 4,OVA,Visual novel,['Pink Pineapple'],"['Adventure', 'Fantasy', 'Hentai', 'Magic']",[],4.0,False,30 min per ep,Rx - Hentai,5.86,940.0,,7209.0,2138.0,6.0
Ryuusei no Rockman,TV,Game,[],"['Action', 'Game', 'Sci-Fi', 'Shounen']",['Xebec'],55.0,False,10 min per ep,PG - Children,7.22,3843.0,2798.0,4165.0,8883.0,74.0
Shuffle! Memories,TV,Visual novel,['Memory-Tech'],"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",['Asread'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,6.61,17329.0,5325.0,1911.0,41344.0,51.0
